CODE;LIBELLE_CULTURE;CAMPAGNE_DEBUT;CAMPAGNE_FIN
ACP;Autre culture pérenne;2021;
AGR;Agrume;2015;
AIL;Ail;2015;
ANA;Ananas;2015;
ARA;Arachide;2015;
ART;Artichaut;2015;
AVH;Avoine d'hiver;2015;
AVP;Avoine de printemps;2015;
BCA;Banane créole (fruit et légume) - autre;2015;
BDH;Blé dur d'hiver;2015;
BDP;Blé dur de printemps;2015;
BEF;Banane export - fermage;2015;
BFS;Bande admissible le long d'une forêt sans production;2015;
BOR;Bordure de champ;2015;
BTA;Bande tampon;2015;
BTH;Blé tendre d'hiver;2015;
BTN;Betterave non fourragère / Bette;2015;
BTP;Blé tendre de printemps;2015;
CAC;Café / Cacao;2015;
CAE;Châtaigneraie entretenue par des porcins ou des petits ruminants;2015;
CAG;Autre céréale d’un autre genre;2015;
CAR;Carotte;2015;
CBT;Cerise bigarreau pour transformation;2015;
CCN;Concombre / Cornichon;2015;
CEE;Chênaie entretenue par des porcins ou des petits ruminants;2015;
CEL;Céleri;2015;
CHU;Chou;2015;
CHV;Chanvre;2015;
CID;Cultures conduites en interrangs : 2 cultures représentant chacune plus de 25%;2015;
CIT;Cultures conduites en interrangs : 3 cultures représentant chacune plus de 25%;2015;
CML;Cameline;2015;
CPL;Fourrage composé de céréales et/ou de protéagineux (en proportion < 50%) et/ou de légumineuses fourragères (en proportion < 50%);2015;
CSA;Canne à sucre - autre;2015;
CSE;Chanvre sans étiquette conforme;2018;
CSS;Culture sous serre hors sol;2016;
CTG;Châtaigne;2015;
CZH;Colza d'hiver;2015;
CZP;Colza de printemps;2015;
EPE;Epeautre;2015;
EPI;Epinard;2015;
FEV;Fève;2015;
FLA;Autre légume ou fruit annuel;2015;
FLP;Autre légume ou fruit pérenne;2015;
FNU;Fenugrec;2015;
FRA;Fraise;2015;
FVL;Féverole semée avant le 31/05;2015;
GES;Gesse;2015;
HBL;Houblon;2015;
HPC;Horticulture ornementale de plein champ;2015;
JNO;Jachère noire;2015;
LAV;Lavande / Lavandin;2015;
LBF;Laitue / Batavia / Feuille de chêne;2015;
LDH;Lupin doux d'hiver;2015;
LDP;Lupin doux de printemps semé avant le 31/05;2015;
LEC;Lentille cultivée (non fourragère);2015;
LIF;Lin fibres;2015;
LIH;Lin non textile d'hiver;2015;
LIP;Lin non textile de printemps;2015;
LOT;Lotier;2015;
LUZ;Autre luzerne;2015;
MCR;Mélange de céréales;2015;
MID;Maïs doux;2015;
MIS;Maïs;2015;
MLG;Mélange de légumineuses prépondérantes au semis et de graminées fourragères de 5 ans ou moins;2015;
MLO;Melon;2015;
MLT;Millet;2015;
MOH;Moha;2015;
MOT;Moutarde;2015;
MPC;Mélange de protéagineux (pois et/ou lupin et/ou féverole) prépondérants semés avant le 31/05 et de céréales;2015;
MRS;Marais salant;2015;
NOS;Noisette;2015;
NOX;Noix;2015;
NVT;Navet;2015;
OAG;Autre oléagineux d’un autre genre;2015;
OEI;Oeillette;2015;
OHR;Autre oléagineux d’hiver d’espèce Brassica rapa;2015;
OIG;Oignon / Echalotte;2015;
OLI;Oliveraie;2015;
ORH;Orge d'hiver;2015;
ORP;Orge de printemps;2015;
PAG;Autre protéagineux d’un autre genre;2015;
PCH;Pois chiche;2015;
PEP;Pépinière;2015;
PFR;Petit fruit rouge;2015;
PHI;Pois d'hiver;2015;
POR;Poireau;2015;
POT;Potiron / Potimarron;2015;
PPH;Prairie permanente - herbe prédominante (ressources fourragères ligneuses absentes ou peu présentes);2015;
PPP;Autre PPAM pérenne;2015;
PPR;Pois de printemps semé avant le 31/05;2015;
PRU;Prune d'Ente pour transformation;2015;
PSL;Persil;2015;
PTC;Pomme de terre de consommation;2015;
PTR;Autre prairie temporaire de 5 ans ou moins;2015;
PVP;Poivron / Piment;2015;
PVT;Pêche Pavie pour transformation;2015;
PWT;Poire Williams pour transformation;2015;
RDI;Radis;2015;
RIZ;Riz;2015;
SAI;Autre sainfoin;2015;
SBO;Surface boisée sur une ancienne terre agricole;2015;
SGH;Seigle d'hiver;2015;
SGP;Seigle de printemps;2015;
SNE;Surface agricole temporairement non exploitée;2015;
SOG;Sorgho;2015;
SOJ;Soja;2015;
SPH;Surface pastorale - herbe prédominante et ressources fourragères ligneuses présentes;2015;
SPL;Surface pastorale - ressources fourragères ligneuses prédominantes;2015;
SRS;Sarrasin;2015;
TAB;Tabac;2015;
TBT;Tubercule tropical;2015;
TCR;Taillis à courte rotation;2015;
TOM;Tomate;2015;
TRE;Autre trèfle;2015;
TRN;Tournesol;2015;
TRU;Truffière (chênaie de plants mycorhizés);2015;
TTH;Triticale d'hiver;2015;
TTP;Triticale de printemps;2015;
VES;Autre vesce;2015;
VNL;Vanille;2015;
VRC;Vigne : raisins de cuve;2015;
VRG;Verger;2015;
ZZZ;Culture inconnue;2015;
CNA;Châtaigneraie non entretenue par des porcins ou des petits ruminants;2019;
CNE;Chênaie non entretenue par des porcins ou des petits ruminants;2019;
MLC;Mélange de légumineuses fourragères prépondérantes et de céréales et/ou d'oléagineux;2019;
MLF;Mélange de légumineuses fourragères (entre elles);2019;
CAH;Autre céréale ou pseudo-céréale secondaire d'hiver;2023;
MCS;Mélange de céréales ou pseudo-céréales de printemps entre elles;2023;
FVP;Féverole de printemps;2023;
PHS;Pois et haricot secs (alimentation humaine);2023;
PHF;Pois et haricot frais (alimentation humaine);2023;
MDI;Maraîchage diversifié (plusieurs espèces de fruits et légumes majoritairement non pérennes);2023;
SHD;Surfaces hautement diversifiées (DOM);2023;
GRA;Graminée pure exclusivement pour gazon ou pour production de semences certifiées;2023;
JAC;Jachère (terre arable);2023;
ARP;Plante aromatique pérenne non arbustive ou arborée autre que la vanille;2023;
AAR;Plantes aromatiques herbacées non pérennes (< 5 ans) autres que persil ;2023;
PRF;Plantes à parfum pérennes autres que lavande et lavandin;2023;
AME;Plantes médicinales et à parfum non pérennes (< 5 ans);2023;
PME;Plantes médicinales pérennes (autres que arbres);2023;
AFG;Autre plante fourragère annuelle (ni légumineuse, ni graminée, ni céréale, ni oléagineux);2023;
MSW;Culture pérenne à forte biomasse (miscanthus, switchgrass, silphie, canne fourragère, …);2023;
SAG;Roselière (récolte de sagnes);2023;
SNU;Parc d'élevage de monogastriques avec couvert dégradé, voire sol nu;2023;
SIN;Surface pastorale ou parcours non utilisé l'année en cours;2023;
PEV;Pépinière (plants laissés en terre moins d’un an);2023;
